Symbol,Company,Sector,Industry,Market_Cap,Net_Profit_Cr,ROCE_Pct,ROE_Pct,Debt_to_Equity,Latest_Q_Profit_Cr,Public_Holding_Pct,Is_Bank_Finance,Is_PSU,Is_Highest_Quarter,Passes_Criteria
ARE&M,Amara Raja Energy & Mobility Limited,Industrials,Electrical Equipment & Parts,167367540736,944.67,5.51,12.01,0.0401,164.8,56.56,False,False,False,False
ARENTERP,Rajdarshan Industries Limited,Basic Materials,Other Industrial Metals & Mining,139220752,0.23,-1.13,-0.86,0.0,0.07,34.54,False,False,False,False
ARFIN,Arfin India Limited,Basic Materials,Aluminum,12820816896,9.15,5.12,4.51,0.9277,2.45,16.63,False,False,False,False
ARIES,Aries Agro Limited,Basic Materials,Agricultural Inputs,4212104704,34.02,6.43,12.3,0.2067,20.01,65.06,False,False,False,False
ARIHANTCAP,Arihant Capital Markets Limited,Financial Services,Capital Markets,10279517184,58.7,4.68,11.66,0.511,13.08,30.24,True,False,False,False
ARIHANTSUP,Arihant Superstructures Limited,Real Estate,Real Estate - Development,13950284800,54.68,5.17,16.22,1.9785,6.11,35.24,False,False,False,False
ARISINFRA,ARISINFRA,Industrials,Engineering & Construction,9974233088,2.06,0.0,0.0,0.0791,14.29,28.59,False,False,False,False
ARKADE,ARKADE,Real Estate,Real Estate - Development,24359065600,156.93,10.21,17.73,0.1839,28.76,17.78,False,False,False,False
ARMANFIN,Arman Financial Services Limited,Financial Services,Credit Services,16942462976,52.07,-0.05,-0.12,1.3729,7.99,55.92,True,False,False,False
AROGRANITE,Aro Granite Industries Limited,Industrials,Building Products & Equipment,448590144,6.42,-0.41,-1.31,0.8085,2.49,40.47,False,False,False,False
ARROWGREEN,Arrow Greentech Limited,Consumer Cyclical,Packaging & Containers,7577162752,63.13,18.39,26.82,0.0122,15.74,29.78,False,False,False,False
ARSHIYA,Arshiya Limited,Industrials,Integrated Freight & Logistics,339883936,2818.56,-2.5,0.0,0.0,0.0,83.16,False,False,False,False
ARSSBL,ARSSBL,Financial Services,Financial Conglomerates,40887455744,103.61,0.0,0.0,0.9488,0.0,29.1,True,False,False,False
ARTEMISMED,Artemis Medicare Services Limited,,,0,0.0,5.46,11.23,0.3143,0.0,0.0,False,False,False,False
ARTNIRMAN,Art Nirman Limited,Real Estate,Real Estate - Development,1174179840,1.99,2.52,3.83,0.5267,0.77,26.85,False,False,False,False
ARVEE,Arvee Laboratories (India) Ltd.,Basic Materials,Specialty Chemicals,2131708800,2.15,-0.15,1.29,0.0329,0.01,64.3,False,False,False,False
